selection,mutation,pop_size,gens,time,best_pop
offspring,adaptive,40,300,6.888087272644043,5000000.0
offspring,adaptive,40,350,7.930242538452148,5000000.0
offspring,adaptive,40,400,9.056867837905884,5000000.0
offspring,adaptive,40,450,10.206689834594727,5000000.0
offspring,adaptive,40,500,11.365645170211792,5000000.0
offspring,adaptive,45,50,1.29530668258667,4999999.99034
offspring,adaptive,45,100,2.5817317962646484,5000000.0
offspring,adaptive,45,150,3.8964407444000244,5000000.0
offspring,adaptive,45,200,5.116480350494385,5000000.0
offspring,adaptive,45,250,6.387066125869751,5000000.0
offspring,adaptive,45,300,7.639449596405029,5000000.0
offspring,adaptive,45,350,8.958785057067871,5000000.0
offspring,adaptive,45,400,10.180848598480225,5000000.0
offspring,adaptive,45,450,11.49348783493042,5000000.0
offspring,adaptive,45,500,12.739339113235474,5000000.0
offspring,adaptive,50,50,1.4810981750488281,4999999.99531
offspring,adaptive,50,100,2.9162180423736572,5000000.0
offspring,adaptive,50,150,4.279084205627441,5000000.0
offspring,adaptive,50,200,5.705469846725464,5000000.0
offspring,adaptive,50,250,7.221177816390991,5000000.0
offspring,adaptive,50,300,8.50482702255249,5000000.0
offspring,adaptive,50,350,9.928582668304443,5000000.0
offspring,adaptive,50,400,11.913726568222046,5000000.0
offspring,adaptive,50,450,12.741569757461548,5000000.0
offspring,adaptive,50,500,14.124889373779297,5000000.0
